replicate,delta_rank
941,0.04714592675635276
942,0.05665950423517688
943,0.0562453288490284
944,0.04730007473841554
945,0.06654833084205282
946,0.05381944444444444
947,0.04933046836073741
948,0.05656919531639263
949,0.051328163926258094
950,0.053568759342301944
951,0.05915389885401096
952,0.042171150971599396
953,0.051829534130543094
954,0.07189679870453412
955,0.04449427005480817
956,0.05592301943198804
957,0.058197869955156946
958,0.04734211509715994
959,0.038792351768809165
960,0.05925510712506228
961,0.047999190333831585
962,0.06576357747882412
963,0.03871917040358744
964,0.046864100647732936
965,0.046909255107125056
966,0.03850896860986546
967,0.050800323866467365
968,0.05188247384155456
969,0.03701887144992526
970,0.0538770553064275
971,0.04303998505231689
972,0.06225554309915297
973,0.05656296711509715
974,0.05856066268061784
975,0.05740066018933732
976,0.056321624314897845
977,0.04897078973592426
978,0.05359367214748381
979,0.05211603139013453
980,0.06117027902341803
981,0.046171213253612356
982,0.06705125809666168
983,0.05170185600398605
984,0.03222315645241654
985,0.05739598903836572
986,0.0564820004982561
987,0.047446437468858994
988,0.0549498629795715
989,0.042097969606377676
990,0.058046836073741906
991,0.05110239162929745
992,0.06558140259093173
993,0.06253892625809666
994,0.050937344294967615
995,0.052905455904334826
996,0.056369892874937724
997,0.05726986796213254
998,0.05420559292476333
999,0.05471319133034379
1000,0.057928500249128045
1001,0.043848094170403584
1002,0.05931738913801694
1003,0.05358588689586448
1004,0.05144494270054808
1005,0.056525597907324365
1006,0.042765944195316395
1007,0.057143746885899356
1008,0.0410656452416542
1009,0.05148854010961634
1010,0.05718267314399601
1011,0.05922240906826108
1012,0.06727391629297459
1013,0.058445440956651724
1014,0.06582585949177877
1015,0.0515227952167414
1016,0.04551413801694071
1017,0.05129390881913303
1018,0.03919874190333831
1019,0.06468921275535626
1020,0.052509965122072746
1021,0.04911248131539611
1022,0.05370577977080219
1023,0.04145335077229696
1024,0.06647203537618336
1025,0.05325579222720478
1026,0.05635432237169905
1027,0.04332492526158445
1028,0.04609803188839063
1029,0.062060911808669655
1030,0.040995577977080214
1031,0.044273168908819126
1032,0.05921618086696562
1033,0.044987855007473834
1034,0.04660251619332337
1035,0.061164050822122576
1036,0.04120577977080219
1037,0.053461322869955155
1038,0.04804123069257598
1039,0.04080873193821624
1040,0.058708582461385155
1041,0.06268061783756851
1042,0.05385058545092177
1043,0.04778898854010962
1044,0.04628176382660688
1045,0.04253861484803188
1046,0.042806427503736914
1047,0.06502864972595913
1048,0.06817077727952167
1049,0.051835762331838564
1050,0.050761397608370694
1051,0.053453537618335815
1052,0.05545901843547582
1053,0.04650130792227204
1054,0.03982311908320876
1055,0.03820378674638764
1056,0.051083707025411054
1057,0.042013888888888885
1058,0.03935444693572496
1059,0.05919282511210762
1060,0.05195098405580468
1061,0.059292476332835076
1062,0.0533756851021425
1063,0.05019151718983557
1064,0.04700890632785251
1065,0.05962724215246637
1066,0.05401407573492775
1067,0.04752117588440458
1068,0.05374470602889886
1069,0.04152341803687096
1070,0.03456807424015944
1071,0.04217426507224714
1072,0.040009965122072735
1073,0.04536466118584952
1074,0.04644525411061285
1075,0.06121699053313403
1076,0.05632473841554559
1077,0.039728139013452915
1078,0.06241903338315894
1079,0.056645490782262074
1080,0.05060724962630792
1081,0.05728699551569507
1082,0.05464468111609368
1083,0.056201731439960136
1084,0.05294438216243149
1085,0.04074644992526158
1086,0.046164985052316886
1087,0.03707803936223218
1088,0.05225928001993024
1089,0.052444569008470346
1090,0.041501619332336814
1091,0.04708987294469357
1092,0.05102765321375187
1093,0.0554745889387145
1094,0.04383408071748878
1095,0.045663614848031886
1096,0.050566766317887396
1097,0.04172427752864972
1098,0.044645303936223214
1099,0.047443323368211256
1100,0.04144867962132536
1101,0.04892407822620827
1102,0.04594699800697558
1103,0.045984367214748384
1104,0.046460824613851516
1105,0.050392376681614344
1106,0.04977734180368709
1107,0.05368086696562033
1108,0.05219855505729945
1109,0.056172147483806674
1110,0.05144182859990034
1111,0.04847564773293473
1112,0.04567295714997509
1113,0.04362387892376682
1114,0.047304745889387136
1115,0.054548143996013945
1116,0.04851924514200299
1117,0.049691704035874446
1118,0.05973156452416541
1119,0.0598857125062282
1120,0.04320036123567514
1121,0.043050884404583954
1122,0.043578724464374684
1123,0.04476363976083706
1124,0.06614661185849527
1125,0.05897016691579471
1126,0.0398215620328849
1127,0.04922303188839062
1128,0.06287524912805183
1129,0.0556598779272546
1130,0.06506913303437968
1131,0.046012394120577976
1132,0.0489552192326856
1133,0.06145833333333333
1134,0.03014760837070254
1135,0.05420092177379173
1136,0.049461260587942195
1137,0.06329876681614349
1138,0.0622166168410563
1139,0.056804309915296454
