clone_id,treatment,outer_fold,y,pred_W0,pred_W1,pred_W2,pred_W3,pred_W4,pred_W5
L10693,Trametinib,4,0,0.191021945485207,0.0755059582532245,0.2504749743274589,0.1713941541983386,0.0609778005707164,0.040701628865726834
L106934,Acid,3,0,0.4704989420167573,0.2839379758377813,0.3951765420566256,0.643771162339829,0.2479328934203022,0.2199815800938853
L106934,Cisplatin,3,0,0.1901270509498604,0.0757977484189873,0.3951765420566256,0.300177320290759,0.0596574169981786,0.08301040510167905
L106934,CoCl2,3,0,0.2186598922625351,0.0918906235877918,0.3951765420566256,0.3406992835562875,0.0730031515304135,0.1512910734334734
L106934,Dabrafenib,3,0,0.2186598922625351,0.0918906235877921,0.3951765420566256,0.3406992835562875,0.0730031515304135,0.07369375158598801
L106934,Doxorubicin,3,0,0.2882083795228566,0.136449253309681,0.3951765420566256,0.4347893498813077,0.1111222358315636,0.07910121552922206
L106934,Trametinib,3,0,0.1919105456868687,0.0767687892495874,0.3951765420566256,0.302741889739012,0.0604541299380125,0.045366153010017805
L106945,Acid,4,1,0.4785299066468458,0.6573648940454944,0.2389378704275034,0.4566039638644753,0.5320655000044828,0.6015066933810732
L106945,Cisplatin,4,0,0.1981548358322619,0.2816494410529963,0.2389378704275034,0.1686047402046671,0.1823315803892849,0.2261217850876557
L106945,CoCl2,4,0,0.2293600697046259,0.329323266737204,0.2389378704275034,0.1982221148008455,0.2190782260520279,0.1979682085689981
L106945,Dabrafenib,4,0,0.2240101926936385,0.3211976959155656,0.2389378704275034,0.193083693547414,0.2126680757673187,0.1398887049560566
L106945,Doxorubicin,4,0,0.2891002187573746,0.4178608052972801,0.2389378704275034,0.2572655854638021,0.2931830661074268,0.3616636556006711
L106945,Trametinib,4,0,0.191021945485207,0.2706608087932071,0.2389378704275034,0.1619572565696341,0.174165949063886,0.10441549464498588
L107042,Acid,3,0,0.4704989420167573,0.2839379758377813,0.0819001493063886,0.1823953393655401,0.2091304045835794,0.17658893882448048
L107042,Cisplatin,3,0,0.1901270509498604,0.0757977484189873,0.0819001493063886,0.0502863899531352,0.0484235655075278,0.05602538036650297
L107042,CoCl2,3,0,0.2186598922625351,0.0918906235877918,0.0819001493063886,0.0599652326079497,0.0594150053833544,0.028045070153095146
L107042,Dabrafenib,3,0,0.2186598922625351,0.0918906235877921,0.0819001493063886,0.0599652326079497,0.0594150053833544,0.058998459410367986
L107042,Doxorubicin,3,0,0.2882083795228566,0.136449253309681,0.0819001493063886,0.0867238611899414,0.0911364978767029,0.08468777980206557
L107042,Trametinib,3,0,0.1919105456868687,0.0767687892495874,0.0819001493063886,0.0508712051122785,0.0490780826998408,0.06771199129847276
L10717,Acid,0,1,0.4736194759800148,0.72664345261072,0.3182849445876076,0.551459512225552,0.8115912962159132,0.7615864916049904
L10717,Cisplatin,0,1,0.1858364208706426,0.333296395464686,0.3182849445876076,0.2189388783935666,0.4381135556287607,0.39079526004540144
L10717,CoCl2,0,1,0.2286700743638336,0.4070874549117231,0.3182849445876076,0.2699611706816647,0.5186332199728941,0.431484865229399
L10717,Dabrafenib,0,1,0.2447349983810882,0.4336049576772057,0.3182849445876076,0.2891183699059246,0.5463317602509532,0.6561157729924131
L10717,Doxorubicin,0,1,0.2866788719209133,0.4990956658887694,0.3182849445876076,0.3390863675850864,0.6124297217113245,0.5577732164095814
L10717,Trametinib,0,1,0.2036838670412842,0.3646056737136179,0.3182849445876076,0.2401777640046279,0.4728435382296623,0.5488751850771957
L107403,Acid,0,1,0.4736194759800148,0.4951423832940624,0.258974861888719,0.4758021899637327,0.5239232894287822,0.3630626780448596
L107403,Cisplatin,0,1,0.1858364208706426,0.1557227929225017,0.258974861888719,0.1714625455084628,0.1661117453259269,0.10663352316660238
L107403,CoCl2,0,1,0.2286700743638336,0.2021180226005783,0.258974861888719,0.2144586805473438,0.2158444104521528,0.26911563292586194
L107403,Dabrafenib,0,0,0.2447349983810882,0.2202435020704015,0.258974861888719,0.2309231147020946,0.2352757981125286,0.26206423482726543
L107403,Doxorubicin,0,1,0.2866788719209133,0.2688023683384141,0.258974861888719,0.2747201362443878,0.2875977222811208,0.29458247069368315
L107403,Trametinib,0,1,0.2036838670412842,0.1747226877606323,0.258974861888719,0.1892115363642911,0.1864339809571097,0.23526577817989425
L107467,Acid,4,1,0.4785299066468458,0.8635509370575649,0.3370628153034856,0.5832169424584478,0.8696548082698002,0.8516071289168395
L107467,Cisplatin,4,0,0.1981548358322619,0.5639561733929481,0.3370628153034856,0.2524604166349842,0.5668085552291076,0.6646659546191354
L107467,CoCl2,4,1,0.2293600697046259,0.6182863279860732,0.3370628153034856,0.2916408732583563,0.6220892969954303,0.7190251314179453
L107467,Dabrafenib,4,0,0.2240101926936385,0.6095105194537834,0.3370628153034856,0.2849414237556503,0.6131457195798091,0.5060288683485877
