clone_id,treatment,n_naive_cells,naive_pooled_fraction,n_post_cells,post_fraction,post_rank,post_rank_fraction,post_tie_size,detected_post,outcome_observation_status,treatment_sample_available,treatment_total_assigned_cells,naive_source_samples,outer_group,outer_fold
L87366,CoCl2,26,0.00400678,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive1|Naive2|Naive3,L87366,3
L87366,Dabrafenib,26,0.00400678,11,0.00178456,50,0.03568879,6,True,observed_nonzero,True,6164,Naive1|Naive2|Naive3,L87366,3
L87366,Doxorubicin,26,0.00400678,10,0.00353107,23,0.01641685,4,True,observed_nonzero,True,2832,Naive1|Naive2|Naive3,L87366,3
L87366,Trametinib,26,0.00400678,4,0.00049438,91,0.0649536,9,True,observed_nonzero,True,8091,Naive1|Naive2|Naive3,L87366,3
L879,Acid,7,0.00107875,4,0.00055203,267,0.19057816,51,True,observed_nonzero,True,7246,Naive1|Naive2|Naive3,L879,2
L879,Cisplatin,7,0.00107875,1,0.00014674,110,0.07851535,163,True,observed_nonzero,True,6815,Naive1|Naive2|Naive3,L879,2
L879,CoCl2,7,0.00107875,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive1|Naive2|Naive3,L879,2
L879,Dabrafenib,7,0.00107875,1,0.00016223,182,0.12990721,140,True,observed_nonzero,True,6164,Naive1|Naive2|Naive3,L879,2
L879,Doxorubicin,7,0.00107875,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive1|Naive2|Naive3,L879,2
L879,Trametinib,7,0.00107875,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive1|Naive2|Naive3,L879,2
L88206,Acid,1,0.00015411,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive3,L88206,1
L88206,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive3,L88206,1
L88206,CoCl2,1,0.00015411,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive3,L88206,1
L88206,Dabrafenib,1,0.00015411,1,0.00016223,182,0.12990721,140,True,observed_nonzero,True,6164,Naive3,L88206,1
L88206,Doxorubicin,1,0.00015411,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive3,L88206,1
L88206,Trametinib,1,0.00015411,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive3,L88206,1
L88295,Acid,1,0.00015411,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive3,L88295,3
L88295,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive3,L88295,3
L88295,CoCl2,1,0.00015411,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive3,L88295,3
L88295,Dabrafenib,1,0.00015411,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive3,L88295,3
L88295,Doxorubicin,1,0.00015411,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive3,L88295,3
L88295,Trametinib,1,0.00015411,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive3,L88295,3
L88421,Acid,1,0.00015411,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive2,L88421,3
L88421,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive2,L88421,3
L88421,CoCl2,1,0.00015411,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive2,L88421,3
L88421,Dabrafenib,1,0.00015411,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive2,L88421,3
L88421,Doxorubicin,1,0.00015411,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive2,L88421,3
L88421,Trametinib,1,0.00015411,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive2,L88421,3
L88461,Acid,20,0.00308214,24,0.00331217,59,0.04211278,5,True,observed_nonzero,True,7246,Naive1|Naive2|Naive3,L88461,3
L88461,Cisplatin,20,0.00308214,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive1|Naive2|Naive3,L88461,3
L88461,CoCl2,20,0.00308214,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive1|Naive2|Naive3,L88461,3
L88461,Dabrafenib,20,0.00308214,22,0.00356911,30,0.02141328,2,True,observed_nonzero,True,6164,Naive1|Naive2|Naive3,L88461,3
L88461,Doxorubicin,20,0.00308214,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive1|Naive2|Naive3,L88461,3
L88461,Trametinib,20,0.00308214,10,0.00123594,50,0.03568879,7,True,observed_nonzero,True,8091,Naive1|Naive2|Naive3,L88461,3
L88830,Acid,2,0.00030821,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive2,L88830,1
L88830,Cisplatin,2,0.00030821,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive2,L88830,1
L88830,CoCl2,2,0.00030821,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive2,L88830,1
L88830,Dabrafenib,2,0.00030821,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive2,L88830,1
L88830,Doxorubicin,2,0.00030821,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive2,L88830,1
L88830,Trametinib,2,0.00030821,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive2,L88830,1
L88932,Acid,1,0.00015411,1,0.00013801,487,0.34760885,179,True,observed_nonzero,True,7246,Naive1,L88932,2
L88932,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive1,L88932,2
L88932,CoCl2,1,0.00015411,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive1,L88932,2
L88932,Dabrafenib,1,0.00015411,1,0.00016223,182,0.12990721,140,True,observed_nonzero,True,6164,Naive1,L88932,2
L88932,Doxorubicin,1,0.00015411,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive1,L88932,2
L88932,Trametinib,1,0.00015411,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive1,L88932,2
L89007,Acid,1,0.00015411,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive3,L89007,1
L89007,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive3,L89007,1
L89007,CoCl2,1,0.00015411,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive3,L89007,1
L89007,Dabrafenib,1,0.00015411,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive3,L89007,1
L89007,Doxorubicin,1,0.00015411,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive3,L89007,1
L89007,Trametinib,1,0.00015411,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive3,L89007,1
L89382,Acid,2,0.00030821,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive3,L89382,2
L89382,Cisplatin,2,0.00030821,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive3,L89382,2
L89382,CoCl2,2,0.00030821,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive3,L89382,2
L89382,Dabrafenib,2,0.00030821,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive3,L89382,2
L89382,Doxorubicin,2,0.00030821,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive3,L89382,2
L89382,Trametinib,2,0.00030821,1,0.00012359,161,0.11491792,114,True,observed_nonzero,True,8091,Naive3,L89382,2
L8950,Acid,2,0.00030821,1,0.00013801,487,0.34760885,179,True,observed_nonzero,True,7246,Naive3,L8950,3
L8950,Cisplatin,2,0.00030821,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive3,L8950,3
L8950,CoCl2,2,0.00030821,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive3,L8950,3
L8950,Dabrafenib,2,0.00030821,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive3,L8950,3
L8950,Doxorubicin,2,0.00030821,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive3,L8950,3
L8950,Trametinib,2,0.00030821,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive3,L8950,3
L89642,Acid,1,0.00015411,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive1,L89642,0
L89642,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive1,L89642,0
